observation_date,USEPUINDXD
1985-01-01,103.83
1985-01-02,296.43
1985-01-03,56.06
1985-01-04,118.45
1985-01-05,88.56
1985-01-06,206.51
1985-01-07,593.28
1985-01-08,237.04
1985-01-09,103.83
1985-01-10,201.74
1985-01-11,207.56
1985-01-12,77.76
1985-01-13,47.02
1985-01-14,140.99
1985-01-15,114.30
1985-01-16,48.28
1985-01-17,190.60
1985-01-18,208.30
1985-01-19,77.29
1985-01-20,236.06
1985-01-21,140.79
1985-01-22,115.91
1985-01-23,102.03
1985-01-24,47.30
1985-01-25,154.89
1985-01-26,223.61
1985-01-27,396.97
1985-01-28,392.25
1985-01-29,289.28
1985-01-30,50.51
1985-01-31,143.48
1985-02-01,50.66
1985-02-02,72.33
1985-02-03,265.21
1985-02-04,198.40
1985-02-05,162.06
1985-02-06,193.47
1985-02-07,265.10
1985-02-08,96.24
1985-02-09,73.26
1985-02-10,221.11
1985-02-11,68.65
1985-02-12,169.37
1985-02-13,97.06
1985-02-14,46.40
1985-02-15,148.61
1985-02-16,214.87
1985-02-17,313.19
1985-02-18,427.95
1985-02-19,126.87
1985-02-20,93.05
1985-02-21,45.04
1985-02-22,47.45
1985-02-23,71.08
1985-02-24,309.42
1985-02-25,203.24
1985-02-26,286.06
1985-02-27,194.02
1985-02-28,180.07
1985-03-01,46.53
1985-03-02,69.30
1985-03-03,176.13
1985-03-04,67.22
1985-03-05,110.60
1985-03-06,46.38
1985-03-07,40.62
1985-03-08,142.42
1985-03-09,70.25
1985-03-10,129.10
1985-03-11,315.81
1985-03-12,109.71
1985-03-13,184.43
1985-03-14,83.11
1985-03-15,92.47
1985-03-16,69.44
1985-03-17,221.39
1985-03-18,186.39
1985-03-19,55.03
1985-03-20,91.76
1985-03-21,41.24
1985-03-22,138.33
1985-03-23,69.26
1985-03-24,128.94
1985-03-25,264.36
1985-03-26,269.11
1985-03-27,90.63
1985-03-28,42.82
1985-03-29,183.61
1985-03-30,213.68
1985-03-31,349.85
1985-04-01,54.95
1985-04-02,180.70
1985-04-03,269.69
1985-04-04,179.75
1985-04-05,41.44
1985-04-06,66.65
1985-04-07,118.25
1985-04-08,175.05
1985-04-09,94.25
1985-04-10,241.78
